act,australia,date,nsw,nt,qld,sa,tas,victoria,wa
,12,2020-02-04,4.0,,2.0,2.0,,4.0,
,13,2020-02-05,4.0,,3.0,2.0,,4.0,
,14,2020-02-06,4.0,,4.0,2.0,,4.0,
,15,2020-02-07,4.0,,5.0,2.0,,4.0,
,15,2020-02-08,4.0,,5.0,2.0,,4.0,
,15,2020-02-09,4.0,,5.0,2.0,,4.0,
,15,2020-02-10,4.0,,5.0,2.0,,4.0,
,15,2020-02-11,4.0,,5.0,2.0,,4.0,
,15,2020-02-12,4.0,,5.0,2.0,,4.0,
,15,2020-02-13,4.0,,5.0,2.0,,4.0,
,15,2020-02-14,4.0,,5.0,2.0,,4.0,
,15,2020-02-16,4.0,,5.0,2.0,,4.0,
,15,2020-02-17,4.0,,5.0,2.0,,4.0,
,15,2020-02-18,4.0,,5.0,2.0,,4.0,
,15,2020-02-19,4.0,,5.0,2.0,,4.0,
,15,2020-02-20,4.0,,5.0,2.0,,4.0,
,17,2020-02-21,4.0,,5.0,2.0,,4.0,
,22,2020-02-22,4.0,,5.0,2.0,,4.0,
,22,2020-02-23,4.0,,8.0,3.0,,6.0,1.0
,22,2020-02-24,4.0,,8.0,3.0,,6.0,1.0
,22,2020-02-25,4.0,,8.0,3.0,,6.0,1.0
,23,2020-02-26,4.0,,8.0,3.0,,7.0,1.0
,23,2020-02-27,4.0,,8.0,3.0,,7.0,1.0
,23,2020-02-28,4.0,,8.0,3.0,,7.0,1.0
,25,2020-02-29,4.0,,9.0,3.0,,7.0,2.0
,26,2020-03-01,4.0,,9.0,3.0,,8.0,2.0
,29,2020-03-02,6.0,,9.0,3.0,,9.0,2.0
,33,2020-03-03,,,,,,,
,41,2020-03-04,,,,,,,
,52,2020-03-05,22.0,1.0,8.0,4.0,1.0,6.0,0.0
,59,2020-03-06,25.0,,10.0,6.0,1.0,6.0,0.0
,63,2020-03-07,28.0,,11.0,6.0,1.0,6.0,0.0
,74,2020-03-08,38.0,,11.0,6.0,1.0,7.0,30.0
,80,2020-03-09,40.0,,12.0,6.0,2.0,8.0,0.0
,100,2020-03-10,54.0,,12.0,6.0,2.0,12.0,0.0
,112,2020-03-11,60.0,,15.0,6.0,2.0,15.0,0.0
,126,2020-03-12,64.0,,17.0,8.0,2.0,18.0,0.0
1.0,156,2020-03-13,77.0,,24.0,11.0,3.0,23.0,0.0
